DATE	IC4WSA	ICNSA	ICSA
1978-01-21	351250	500000	352000
1978-01-28	351000	445000	363000
1978-02-04	354500	447000	360000
1978-02-11	362000	438000	373000
1978-02-18	381250	455000	429000
1978-02-25	383250	372000	371000
1978-03-04	382000	360000	355000
1978-03-11	378500	342000	359000
1978-03-18	358000	302000	347000
1978-03-25	349000	280000	335000
1978-04-01	343500	278000	333000
1978-04-08	340000	338000	345000
1978-04-15	330500	279000	309000
1978-04-22	326500	277000	319000
1978-04-29	324250	269000	324000
1978-05-06	321500	291000	334000
1978-05-13	324750	268000	322000
1978-05-20	328500	266000	334000
1978-05-27	327000	256000	318000
1978-06-03	321000	242000	310000
1978-06-10	323250	292000	331000
1978-06-17	321250	287000	326000
1978-06-24	324250	297000	330000
1978-07-01	333750	347000	348000
1978-07-08	340000	428000	356000
1978-07-15	346500	421000	352000
1978-07-22	351250	387000	349000
1978-07-29	350750	371000	346000
1978-08-05	353000	376000	365000
1978-08-12	353500	326000	354000
1978-08-19	352000	287000	343000
1978-08-26	348750	264000	333000
1978-09-02	335750	249000	313000
1978-09-09	331500	246000	337000
1978-09-16	326250	262000	322000
1978-09-23	323750	254000	323000
1978-09-30	325000	249000	318000
1978-10-07	326500	323000	343000
1978-10-14	325000	262000	316000
1978-10-21	328750	287000	338000
1978-10-28	328250	280000	316000
1978-11-04	321750	302000	317000
1978-11-11	318750	286000	304000
1978-11-18	319750	345000	342000
1978-11-25	330500	350000	359000
1978-12-02	345500	427000	377000
1978-12-09	355500	427000	344000
1978-12-16	356750	390000	347000
1978-12-23	355000	447000	352000
1978-12-30	350250	515000	358000
1979-01-06	354000	559000	359000
1979-01-13	365250	680000	392000
1979-01-20	361500	488000	337000
1979-01-27	357500	423000	342000
1979-02-03	354750	424000	348000
1979-02-10	346500	418000	359000
1979-02-17	354000	384000	367000
1979-02-24	358500	364000	360000
1979-03-03	360250	358000	355000
1979-03-10	361250	346000	363000
1979-03-17	359250	315000	359000
1979-03-24	357500	296000	353000
1979-03-31	358750	300000	360000
1979-04-07	384250	449000	465000
1979-04-14	408750	424000	457000
1979-04-21	416250	340000	383000
1979-04-28	415500	303000	357000
1979-05-05	387500	307000	353000
1979-05-12	359250	290000	344000
1979-05-19	350000	280000	346000
1979-05-26	348000	287000	349000
1979-06-02	343750	262000	336000
1979-06-09	349000	322000	365000
1979-06-16	350250	312000	351000
1979-06-23	357750	343000	379000
1979-06-30	366000	366000	369000
1979-07-07	366750	458000	368000
1979-07-14	371000	446000	368000
1979-07-21	375000	445000	395000
1979-07-28	379250	417000	386000
1979-08-04	390250	428000	412000
1979-08-11	394750	360000	386000
1979-08-18	392750	329000	387000
1979-08-25	393750	313000	390000
1979-09-01	388000	312000	389000
1979-09-08	386000	285000	378000
1979-09-15	385250	311000	384000
1979-09-22	384750	309000	388000
1979-09-29	385000	303000	390000
1979-10-06	393500	379000	412000
1979-10-13	395750	335000	393000
1979-10-20	400250	342000	406000
1979-10-27	402250	353000	398000
1979-11-03	398000	372000	395000
1979-11-10	403250	392000	414000
1979-11-17	409250	401000	430000
1979-11-24	413250	379000	414000
1979-12-01	418500	513000	416000
1979-12-08	418750	521000	415000
1979-12-15	414000	455000	411000
1979-12-22	428250	580000	471000
1979-12-29	431250	596000	428000
1980-01-05	426000	574000	394000
1980-01-12	424500	804000	405000
1980-01-19	418250	648000	446000
1980-01-26	414250	515000	412000
1980-02-02	416750	471000	404000
1980-02-09	421750	493000	425000
1980-02-16	414000	418000	415000
1980-02-23	418000	415000	428000
1980-03-01	419250	407000	409000
1980-03-08	417500	413000	418000
1980-03-15	421750	398000	432000
1980-03-22	423500	392000	435000
1980-03-29	440000	399000	475000
1980-04-05	451500	451000	464000
1980-04-12	479500	535000	544000
1980-04-19	507750	495000	548000
1980-04-26	529750	482000	563000
1980-05-03	556750	491000	572000
1980-05-10	571000	526000	601000
1980-05-17	594500	539000	642000
1980-05-24	610500	525000	627000
1980-05-31	626750	477000	637000
1980-06-07	629000	562000	610000
1980-06-14	616500	511000	592000
1980-06-21	609500	529000	599000
1980-06-28	607000	563000	627000
1980-07-05	599250	584000	579000
1980-07-12	584500	643000	533000
1980-07-19	576500	628000	567000
1980-07-26	559250	569000	558000
1980-08-02	556750	536000	569000
1980-08-09	556750	494000	533000
1980-08-16	546250	435000	525000
1980-08-23	534750	410000	512000
1980-08-30	518000	397000	502000
1980-09-06	512500	374000	511000
1980-09-13	504250	414000	492000
1980-09-20	492500	381000	465000
1980-09-27	482750	363000	463000
1980-10-04	470500	410000	462000
1980-10-11	459250	417000	447000
1980-10-18	449250	355000	425000
1980-10-25	438000	384000	418000
1980-11-01	427250	395000	419000
1980-11-08	417250	416000	407000
1980-11-15	417750	403000	427000
1980-11-22	412750	440000	398000
1980-11-29	411000	407000	412000
1980-12-06	413250	534000	416000
1980-12-13	409750	481000	413000
1980-12-20	413250	499000	412000
1980-12-27	410000	546000	399000
1981-01-03	408500	580000	410000
1981-01-10	410000	839000	419000
1981-01-17	412250	638000	421000
1981-01-24	411500	521000	396000
1981-01-31	413750	490000	419000
1981-02-07	414000	500000	420000
1981-02-14	414500	439000	423000
1981-02-21	425000	430000	438000
1981-02-28	428750	432000	434000
1981-03-07	426000	414000	409000
1981-03-14	422250	385000	408000
1981-03-21	413000	365000	401000
1981-03-28	407500	356000	412000
1981-04-04	409500	383000	417000
1981-04-11	406500	401000	396000
1981-04-18	404250	350000	392000
1981-04-25	410250	379000	436000
1981-05-02	409250	342000	413000
1981-05-09	416000	369000	423000
1981-05-16	421500	340000	414000
1981-05-23	416250	342000	415000
1981-05-30	417250	301000	417000
1981-06-06	418500	384000	428000
1981-06-13	421250	367000	425000
1981-06-20	426250	376000	435000
1981-06-27	433000	387000	444000
1981-07-04	441000	430000	460000
1981-07-11	441250	516000	426000
1981-07-18	440000	481000	430000
1981-07-25	430750	429000	407000
1981-08-01	434750	444000	476000
1981-08-08	440250	419000	448000
1981-08-15	443250	369000	442000
1981-08-22	450000	351000	434000
1981-08-29	443750	352000	451000
1981-09-05	450000	396000	473000
1981-09-12	453000	331000	454000
1981-09-19	463250	392000	475000
1981-09-26	473250	392000	491000
1981-10-03	477250	416000	489000
1981-10-10	486500	476000	491000
1981-10-17	489500	408000	487000
1981-10-24	487500	450000	483000
1981-10-31	493750	479000	514000
1981-11-07	499500	534000	514000
1981-11-14	507000	483000	517000
1981-11-21	502250	522000	464000
1981-11-28	511750	535000	552000
1981-12-05	522750	726000	558000
1981-12-12	531250	657000	551000
1981-12-19	550000	644000	539000
1981-12-26	551000	702000	556000
1982-01-02	535250	694300	495000
1982-01-09	533750	1073500	545000
1982-01-16	521250	761700	489000
1982-01-23	523250	771200	564000
1982-01-30	545250	692300	583000
1982-02-06	548000	671000	556000
1982-02-13	552500	532800	507000
1982-02-20	547500	522900	544000
1982-02-27	533750	536300	528000
1982-03-06	533750	566300	556000
1982-03-13	541750	515100	539000
1982-03-20	545000	510500	557000
1982-03-27	556500	501500	574000
1982-04-03	562000	516600	578000
1982-04-10	573500	606300	585000
1982-04-17	583500	540300	597000
1982-04-24	587000	518600	588000
1982-05-01	586500	475600	576000
1982-05-08	586250	516500	584000
