DATE	TREAST	WALCL
2013-04-17	1825042	3295109
2013-04-24	1836227	3318649
2013-05-01	1847983	3317194
2013-05-08	1854334	3324615
2013-05-15	1864508	3354269
2013-05-22	1877154	3398713
2013-05-29	1883559	3385128
2013-06-05	1898010	3400183
2013-06-12	1906079	3410842
2013-06-19	1918706	3470530
2013-06-26	1928416	3478672
2013-07-03	1942678	3492742
2013-07-10	1952529	3504095
2013-07-17	1961671	3537861
2013-07-24	1970003	3574574
2013-07-31	1982407	3571797
2013-08-07	1993375	3585359
2013-08-14	2001093	3646323
2013-08-21	2012169	3645668
2013-08-28	2023610	3644456
2013-09-04	2033290	3654182
2013-09-11	2041088	3662035
2013-09-18	2052055	3722192
2013-09-25	2062004	3734018
2013-10-02	2076927	3747387
2013-10-09	2086741	3758663
2013-10-16	2095034	3813599
2013-10-23	2106475	3839033
2013-10-30	2117750	3843396
2013-11-06	2125552	3851623
2013-11-13	2137037	3907424
2013-11-20	2150957	3906620
2013-11-27	2163666	3925876
2013-12-04	2169788	3932626
2013-12-11	2185719	3993955
2013-12-18	2197292	4008062
2013-12-25	2208829	4032575
2014-01-01	2208775	4023640
2014-01-08	2212924	4028185
2014-01-15	2220953	4071528
2014-01-22	2231430	4097914
2014-01-29	2243176	4102138
2014-02-05	2252973	4109285
2014-02-12	2261099	4119474
2014-02-19	2267872	4149224
2014-02-26	2278256	4159972
2014-03-05	2288453	4171762
2014-03-12	2295938	4181361
2014-03-19	2305795	4222081
2014-03-26	2311539	4226971
2014-04-02	2320653	4236441
2014-04-09	2326085	4244188
2014-04-16	2335991	4283967
2014-04-23	2341768	4296339
2014-04-30	2350272	4296049
2014-05-07	2354916	4303143
2014-05-14	2361328	4336649
2014-05-21	2367236	4327560
2014-05-28	2370724	4322654
2014-06-04	2378186	4330917
2014-06-11	2385801	4340904
2014-06-18	2391477	4368168
2014-06-25	2396972	4368348
2014-07-02	2404577	4377031
2014-07-09	2408506	4383401
2014-07-16	2410339	4398201
2014-07-23	2413616	4410746
2014-07-30	2420285	4406637
2014-08-06	2422566	4410111
2014-08-13	2427647	4431923
2014-08-20	2431395	4412924
2014-08-27	2435932	4413736
2014-09-03	2436986	4415587
2014-09-10	2440637	4421408
2014-09-17	2446572	4449588
2014-09-24	2448625	4459050
2014-10-01	2451736	4450260
2014-10-08	2454457	4455403
2014-10-15	2455345	4474360
2014-10-22	2459197	4481616
2014-10-29	2461580	4486754
2014-11-05	2461581	4486585
2014-11-12	2461602	4488895
2014-11-19	2461622	4492759
2014-11-26	2461645	4485931
2014-12-03	2461625	4486190
2014-12-10	2461560	4488865
2014-12-17	2461495	4502247
2014-12-24	2461420	4509462
2014-12-31	2461364	4497660
2015-01-07	2461224	4499524
2015-01-14	2461084	4516077
2015-01-21	2460944	4512936
2015-01-28	2460804	4500064
2015-02-04	2460652	4500348
2015-02-11	2460490	4501685
2015-02-18	2460328	4496851
2015-02-25	2460167	4486725
2015-03-04	2460028	4487583
2015-03-11	2459908	4489279
2015-03-18	2459787	4495888
2015-03-25	2459666	4480603
2015-04-01	2459578	4481799
2015-04-08	2459693	4483419
2015-04-15	2459806	4485366
2015-04-22	2459920	4489695
2015-04-29	2460034	4471499
2015-05-06	2460182	4472703
2015-05-13	2460334	4501188
2015-05-20	2460486	4480384
2015-05-27	2460639	4463981
2015-06-03	2460749	4465360
2015-06-10	2460803	4468005
2015-06-17	2460857	4487817
2015-06-24	2460911	4495055
2015-07-01	2460975	4479130
2015-07-08	2461107	4481289
2015-07-15	2461238	4493605
2015-07-22	2461370	4500503
2015-07-29	2461502	4485480
2015-08-05	2461603	4486329
2015-08-12	2461694	4489250
2015-08-19	2461785	4487208
2015-08-26	2461876	4475105
2015-09-02	2461941	4475886
2015-09-09	2461943	4478213
2015-09-16	2461944	4487809
2015-09-23	2461946	4497484
2015-09-30	2461948	4484111
2015-10-07	2461911	4486185
2015-10-14	2461874	4504704
2015-10-21	2461837	4501372
2015-10-28	2461800	4489339
2015-11-04	2461760	4489702
2015-11-11	2461718	4492012
2015-11-18	2461676	4486721
2015-11-25	2461628	4477088
2015-12-02	2461601	4478069
2015-12-09	2461589	4480436
2015-12-16	2461578	4489593
